,CustomerID,Recency,Frequency,Monetary,r_score,f_score,m_score,rfm
0,1,53,61,34847.4,2,3,3,233
1,2,94,59,32486.98,2,3,3,233
2,3,53,53,24178.97,2,3,3,233
3,4,5,84,18554.49,2,3,3,233
4,5,130,26,16884.99,2,3,3,233
5,6,32,66,16693.78,2,3,3,233
6,7,116,81,15999.94,2,3,3,233
7,8,62,19,15840.36,2,2,3,223
8,9,112,75,14526.72,2,3,3,233
9,10,13,47,14309.92,2,3,3,233
10,11,45,47,14153.58,2,3,3,233
11,12,16,79,13775.96,2,3,3,233
12,13,112,32,13653.62,2,3,3,233
13,14,155,57,13355.0,2,3,3,233
14,15,14,50,13180.85,2,3,3,233
15,16,114,32,13155.89,2,3,3,233
16,17,6,36,12969.98,2,3,3,233
17,18,93,10,12940.0,2,2,3,223
18,19,35,74,12898.64,2,3,3,233
19,20,13,48,12237.79,2,3,3,233
20,21,47,83,12230.55,2,3,3,233
21,22,1,124,11986.54,2,3,3,233
22,23,15,101,11828.92,2,3,3,233
23,24,147,30,11661.81,2,3,3,233
24,25,118,61,11402.66,2,3,3,233
25,26,58,156,11349.58,2,3,3,233
26,27,186,31,11225.6,2,3,3,233
27,28,98,128,11127.82,2,3,3,233
28,29,1,82,11025.96,2,3,3,233
29,30,74,49,10364.66,2,3,3,233
30,31,139,44,10254.36,2,3,3,233
31,32,87,10,10242.0,2,2,3,223
32,33,17,41,10210.14,2,3,3,233
33,34,131,24,9823.94,2,3,3,233
34,35,5,32,9685.37,2,3,3,233
35,36,7,42,9516.9,2,3,3,233
36,37,17,47,9378.67,2,3,3,233
37,38,111,40,9281.38,2,3,3,233
38,39,131,54,9172.22,2,3,3,233
39,40,6,26,9099.36,2,3,3,233
40,41,2,44,9006.15,2,3,3,233
41,42,26,65,9000.31,2,3,3,233
42,43,190,38,8969.73,2,3,3,233
43,44,95,43,8924.16,2,3,3,233
44,45,51,30,8874.28,2,3,3,233
45,46,6,43,8854.3,2,3,3,233
46,47,73,111,8821.84,2,3,3,233
47,48,6,107,8774.63,2,3,3,233
48,49,2,47,8711.5,2,3,3,233
49,50,15,55,8698.43,2,3,3,233
50,51,129,44,8668.14,2,3,3,233
51,52,76,25,8649.29,2,3,3,233
52,53,27,60,8610.58,2,3,3,233
53,54,152,45,8605.24,2,3,3,233
54,55,128,59,8548.18,2,3,3,233
55,56,78,62,8530.77,2,3,3,233
56,57,101,26,8485.4,2,3,3,233
57,58,39,32,8423.38,2,3,3,233
58,59,10,39,8319.0,2,3,3,233
59,60,41,25,8292.66,2,3,3,233
60,61,87,18,8261.65,2,2,3,223
61,62,167,23,8215.9,2,3,3,233
62,63,6,18,8163.52,2,2,3,223
63,64,96,23,8088.62,2,3,3,233
64,65,30,40,8087.61,2,3,3,233
65,66,164,27,8046.41,2,3,3,233
66,67,10,54,7961.37,2,3,3,233
67,68,13,37,7953.91,2,3,3,233
68,69,136,26,7895.44,2,3,3,233
69,70,13,60,7875.48,2,3,3,233
70,71,64,47,7874.51,2,3,3,233
71,72,87,44,7827.92,2,3,3,233
72,73,5,20,7721.85,2,2,3,223
73,74,79,30,7664.16,2,3,3,233
74,75,4,54,7649.71,2,3,3,233
75,76,7,39,7518.0,2,3,3,233
76,77,15,36,7477.36,2,3,3,233
77,78,143,31,7438.61,2,3,3,233
78,79,95,32,7420.83,2,3,3,233
79,80,3,40,7390.98,2,3,3,233
80,81,16,49,7368.47,2,3,3,233
81,82,109,46,7361.44,2,3,3,233
82,83,1,43,7259.69,2,3,3,233
83,84,107,25,7185.17,2,3,3,233
84,85,4,43,7173.63,2,3,3,233
85,86,60,23,7163.0,2,3,3,233
86,87,204,37,7160.0,2,3,3,233
87,88,5,109,7148.66,2,3,3,233
88,89,25,37,7122.43,2,3,3,233
89,90,57,9,7096.76,2,2,3,223
90,91,100,35,7066.32,2,3,3,233
91,92,34,39,7064.83,2,3,3,233
92,93,124,37,7041.4,2,3,3,233
93,94,31,52,6996.83,2,3,3,233
94,95,1,44,6992.27,2,3,3,233
95,96,108,22,6981.68,2,2,3,223
96,97,140,17,6977.93,2,2,3,223
97,98,49,28,6962.8,2,3,3,233
98,99,26,68,6927.84,2,3,3,233
99,100,13,33,6911.51,2,3,3,233
100,101,6,63,6821.37,2,3,3,233
101,102,3,54,6812.43,2,3,3,233
102,103,51,28,6796.33,2,3,3,233
103,104,101,61,6786.96,2,3,3,233
104,105,205,32,6753.17,2,3,3,233
105,106,29,30,6685.19,2,3,3,233
106,107,83,88,6683.75,2,3,3,233
107,108,5,47,6657.88,2,3,3,233
108,109,126,20,6634.07,2,2,3,223
109,110,22,37,6604.96,2,3,3,233
110,111,46,22,6505.59,2,2,3,223
111,112,31,26,6483.53,2,3,3,233
112,113,23,36,6461.65,2,3,3,233
113,114,192,23,6461.05,2,3,3,233
114,115,13,52,6404.57,2,3,3,233
115,116,13,34,6357.05,2,3,3,233
116,117,109,33,6346.36,2,3,3,233
117,118,152,37,6324.41,2,3,3,233
118,119,65,28,6317.17,2,3,3,233
119,120,131,18,6314.83,2,2,3,223
120,121,18,38,6295.59,2,3,3,233
121,122,32,16,6287.51,2,2,3,223
122,123,71,28,6265.99,2,3,3,233
123,124,1,55,6263.44,2,3,3,233
124,125,130,31,6241.98,2,3,3,233
125,126,91,17,6217.61,2,2,3,223
126,127,49,26,6206.7,2,3,3,233
127,128,15,17,6164.75,2,2,3,223
128,129,111,42,6163.77,2,3,3,233
129,130,63,30,6137.82,2,3,3,233
130,131,31,27,6128.95,2,3,3,233
131,132,115,14,6125.76,2,2,3,223
132,133,3,25,6117.52,2,3,3,233
133,134,101,43,6086.25,2,3,3,233
134,135,6,55,6076.36,2,3,3,233
135,136,83,43,6061.5,2,3,3,233
136,137,182,26,6055.55,2,3,3,233
137,138,5,50,6024.65,2,3,3,233
138,139,12,20,6022.45,2,2,3,223
139,140,66,60,6022.3,2,3,3,233
140,141,80,46,6016.91,2,3,3,233
141,142,14,41,5996.21,2,3,3,233
142,143,6,49,5985.21,2,3,3,233
143,144,36,11,5975.13,2,2,3,223
144,145,64,40,5949.74,2,3,3,233
145,146,2,41,5932.66,2,3,3,233
146,147,80,59,5931.42,2,3,3,233
147,148,62,43,5922.88,2,3,3,233
148,149,3,17,5907.81,2,2,3,223
149,150,37,25,5886.08,2,3,3,233
150,151,50,31,5885.94,2,3,3,233
151,152,185,66,5842.3,2,3,3,233
152,153,1,49,5841.24,2,3,3,233
153,154,75,37,5840.36,2,3,3,233
154,155,139,47,5838.1,2,3,3,233
155,156,103,23,5833.92,2,3,3,233
156,157,92,30,5819.09,2,3,3,233
157,158,182,31,5815.31,2,3,3,233
158,159,2,22,5797.99,2,2,3,223
159,160,121,24,5797.76,2,3,3,233
160,161,18,29,5790.7,2,3,3,233
161,162,61,27,5786.92,2,3,3,233
162,163,120,45,5764.56,2,3,3,233
163,164,133,34,5746.05,2,3,3,233
164,165,4,51,5729.75,2,3,3,233
165,166,86,42,5718.78,2,3,3,233
166,167,122,48,5716.13,2,3,3,233
167,168,123,21,5707.53,2,2,3,223
168,169,5,42,5693.21,2,3,3,233
169,170,40,41,5672.74,2,3,3,233
170,171,99,44,5667.4,2,3,3,233
171,172,19,22,5645.94,2,2,3,223
172,173,11,32,5635.22,2,3,3,233
173,174,112,22,5599.75,2,2,3,223
